Date : 2022-12-26 20:32:45
Directory : c:\Users\ferna\Documents\Desarrollo\SIMR
Total : 517 files,  81252 codes, 26362 comments, 11502 blanks, all 119116 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\generos\views\edit-genero.client.view.html                             | HTML       |        574 |         53 |         75 |        702 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\generos\views\list-genero.client.view.html                             | HTML       |         74 |          5 |         11 |         90 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\generos\views\view-genero.client.view.html                             | HTML       |         77 |          5 |         20 |        102 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\generosnomusicales\config\generosnomusicales.client.routes.js          | JavaScript |         23 |          1 |          1 |         25 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\generosnomusicales\controllers\generosnomusicales.client.controller.js | JavaScript |        979 |         75 |         58 |      1,112 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\generosnomusicales\generosnomusicales.client.module.js                 | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\generosnomusicales\services\generosnomusicales.client.service.js       | JavaScript |         17 |          3 |          2 |         22 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\generosnomusicales\views\create-generonomusical.client.view.html       | HTML       |        434 |         43 |         56 |        533 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\generosnomusicales\views\edit-generonomusical.client.view.html         | HTML       |        442 |         43 |         55 |        540 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\generosnomusicales\views\list-generonomusical.client.view.html         | HTML       |         78 |          5 |          8 |         91 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\generosnomusicales\views\view-generonomusical.client.view.html         | HTML       |         64 |          5 |         17 |         86 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\idiomas\config\idiomas.client.routes.js                                | JavaScript |         18 |          1 |          0 |         19 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\idiomas\controllers\idiomas.client.controller.js                       | JavaScript |        131 |         28 |         12 |        171 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\idiomas\idiomas.client.module.js                                       | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\idiomas\services\idiomas.client.service.js                             | JavaScript |         10 |          3 |          2 |         15 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\idiomas\views\create-idioma.client.view.html                           | HTML       |         20 |          2 |          5 |         27 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\idiomas\views\edit-idioma.client.view.html                             | HTML       |         20 |          2 |          3 |         25 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\idiomas\views\list-idioma.client.view.html                             | HTML       |         42 |          5 |          6 |         53 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\idiomas\views\view-idioma.client.view.html                             | HTML       |         31 |          5 |          3 |         39 |
