"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "CSS", "Less", "SCSS", "YAML", "XML", "comment", "blank", "total"
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\generosnomusicales\generosnomusicales.client.module.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\generosnomusicales\services\generosnomusicales.client.service.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 22
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\generosnomusicales\views\create-generonomusical.client.view.html", "HTML", 0, 0, 0, 434, 0, 0, 0, 0, 0, 43, 56, 533
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\generosnomusicales\views\edit-generonomusical.client.view.html", "HTML", 0, 0, 0, 442, 0, 0, 0, 0, 0, 43, 55, 540
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\generosnomusicales\views\list-generonomusical.client.view.html", "HTML", 0, 0, 0, 78, 0, 0, 0, 0, 0, 5, 8, 91
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\generosnomusicales\views\view-generonomusical.client.view.html", "HTML", 0, 0, 0, 64, 0, 0, 0, 0, 0, 5, 17, 86
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\idiomas\config\idiomas.client.routes.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 19
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\idiomas\controllers\idiomas.client.controller.js", "JavaScript", 131, 0, 0, 0, 0, 0, 0, 0, 0, 28, 12, 171
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\idiomas\idiomas.client.module.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\idiomas\services\idiomas.client.service.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 15
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\idiomas\views\create-idioma.client.view.html", "HTML", 0, 0, 0, 20, 0, 0, 0, 0, 0, 2, 5, 27
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\idiomas\views\edit-idioma.client.view.html", "HTML", 0, 0, 0, 20, 0, 0, 0, 0, 0, 2, 3, 25
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\idiomas\views\list-idioma.client.view.html", "HTML", 0, 0, 0, 42, 0, 0, 0, 0, 0, 5, 6, 53
